source;target;weight
adāru_2 [be afraid 155];šalgu_1 [snow 9];0.012
adāru_2 [be afraid 155];huliam_1 [helmet 7];0.011
adāru_2 [be afraid 155];šudlupu_1 [sleepless 5];0.01
adāru_2 [be afraid 155];šuribatu_1 [terror 10];0.01
adāru_2 [be afraid 155];tāhāzu_1 [battle 547];0.01
adāru_2 [be afraid 155];šuttinnu_1 [bat 8];0.01
adāru_2 [be afraid 155];sipittu_1 [mourning rites 6];0.009
adāru_2 [be afraid 155];adāru_2 [be afraid 155];0.009
adāru_2 [be afraid 155];ḫīpu_1 [break 18];0.009
adāru_2 [be afraid 155];arurtu_1 [famine 5];0.009
adāru_2 [be afraid 155];sariyam_1 [coat of armour 10];0.009
adāru_2 [be afraid 155];ḫātu_1 [terror 5];0.008
adāru_2 [be afraid 155];ḫūṣu_1 [pain 13];0.008
adāru_2 [be afraid 155];tuqumtu_1 [battle 83];0.008
adāru_2 [be afraid 155];āpiru_1 [crowned 7];0.008
adāru_2 [be afraid 155];lumnu_1 [evil 259];0.007
adāru_2 [be afraid 155];padû_1 [spare 6];0.007
adāru_2 [be afraid 155];tānēḫu_1 [moaning 7];0.007
adāru_2 [be afraid 155];išû_1 [have 240];0.007
adāru_2 [be afraid 155];edû_2 [flood 29];0.007
adāru_2 [be afraid 155];mulaʾʾiṭu_2 [who encircles 18];0.007
adāru_2 [be afraid 155];halluptu_1 [armour 8];0.007
adāru_2 [be afraid 155];nigiṣṣu_1 [crack 5];0.007
adāru_2 [be afraid 155];Nagite-raqqi_P [?];0.007
adāru_2 [be afraid 155];ittāti_1 [sign 9];0.006
adāru_2 [be afraid 155];palāhu_1 [afraid 631];0.006
adāru_2 [be afraid 155];galātu_1 [tremble 88];0.006
adāru_2 [be afraid 155];ezēzu_1 [be angry 205];0.006
adāru_2 [be afraid 155];ašuštu_1 [affliction 10];0.006
adāru_2 [be afraid 155];šāninu_1 [rival 53];0.006
adāru_2 [be afraid 155];akṣu_1 [brazen 58];0.006
adāru_2 [be afraid 155];namurratu_1 [aweinspiring radiance 62];0.006
adāru_2 [be afraid 155];tību_1 [attack 205];0.006
adāru_2 [be afraid 155];ittu_2 [peculiarity 36];0.005
adāru_2 [be afraid 155];arratu_1 [curse 47];0.005
adāru_2 [be afraid 155];tabrītu_1 [vision 60];0.005
adāru_2 [be afraid 155];māhiru_1 [opponent 59];0.005
adāru_2 [be afraid 155];mušaknišu_1 [who makes someone bow down 33];0.005
adāru_2 [be afraid 155];pādû_1 [forgiving 67];0.005
adāru_2 [be afraid 155];Ništun_P [?];0.005
adāru_2 [be afraid 155];šapṣu_1 [recalcitrant 34];0.005
adāru_2 [be afraid 155];apāru_1 [cover head 29];0.005
adāru_2 [be afraid 155];lazzu_1 [enduring 9];0.005
adāru_2 [be afraid 155];Iadnana_P [?];0.005
adāru_2 [be afraid 155];rapāsu_1 [beat 8];0.005
adāru_2 [be afraid 155];šuttu_1 [dream 114];0.004
adāru_2 [be afraid 155];ṭehû_2 [approach 184];0.004
adāru_2 [be afraid 155];šikkû_1 [mongoose 21];0.004
adāru_2 [be afraid 155];parādu_1 [be scared 169];0.004
adāru_2 [be afraid 155];Sîn [[1]];0.004
agāgu_1 [be furious 69];kak-dāmi_1 [bloodstained weapon 5];0.015
agāgu_1 [be furious 69];kabattu_1 [liver 133];0.013
agāgu_1 [be furious 69];rêmu_1 [merciful 17];0.011
agāgu_1 [be furious 69];nâhu_1 [rest 75];0.011
agāgu_1 [be furious 69];kisurrû_1 [border 7];0.01
agāgu_1 [be furious 69];ṣarāhu_1 [flare 51];0.009
agāgu_1 [be furious 69];zummû_1 [deprived 19];0.008
agāgu_1 [be furious 69];ezēzu_1 [be angry 205];0.007
agāgu_1 [be furious 69];nâḫu_1 [rest 13];0.007
agāgu_1 [be furious 69];apāru_1 [cover head 29];0.007
agāgu_1 [be furious 69];pašāhu_2 [at rest 38];0.007
agāgu_1 [be furious 69];šagāmu_1 [roar 28];0.007
agāgu_1 [be furious 69];watmanu_1 [cella 61];0.006
agāgu_1 [be furious 69];agāgu_1 [be furious 69];0.006
agāgu_1 [be furious 69];hamâtu_1 [help 9];0.006
agāgu_1 [be furious 69];Elunu_1 [Elunu 16];0.006
agāgu_1 [be furious 69];libbu_1 [heart 5823];0.005
agāgu_1 [be furious 69];arāru_1 [curse 49];0.005
agāgu_1 [be furious 69];pašāru_1 [release 406];0.005
agāgu_1 [be furious 69];pasāsu_1 [erase 15];0.005
agāgu_1 [be furious 69];epištu_1 [deed 230];0.005
agāgu_1 [be furious 69];sāpinu_1 [flattener 44];0.005
agāgu_1 [be furious 69];zāʾeru_1 [enemy 62];0.005
agāgu_1 [be furious 69];rēmu_1 [womb 130];0.005
agāgu_1 [be furious 69];Egašankalama_P [?];0.005
agāgu_1 [be furious 69];erpetu_1 [cloud 43];0.005
agāgu_1 [be furious 69];rihṣu_1 [destruction 20];0.005
agāgu_1 [be furious 69];ilu_1 [god 4706];0.004
agāgu_1 [be furious 69];qerbu_1 [centre 1745];0.004
agāgu_1 [be furious 69];sapānu_1 [flatten 86];0.004
agāgu_1 [be furious 69];ištaru_1 [goddess 262];0.004
agāgu_1 [be furious 69];ṣīru_1 [exalted 487];0.004
agāgu_1 [be furious 69];rakābu_1 [ride 102];0.004
agāgu_1 [be furious 69];rašû_1 [acquire 491];0.004
agāgu_1 [be furious 69];šanû_3 [do twice 96];0.004
agāgu_1 [be furious 69];ahītu_1 [side 18];0.004
agāgu_1 [be furious 69];zaʾānu_1 [adorned 27];0.004
agāgu_1 [be furious 69];lulû_1 [plenty 24];0.004
agāgu_1 [be furious 69];Šarrat-Kidmuri [[1, (Queen of Kidmuru), Queen of Kidmuru]];0.004
agāgu_1 [be furious 69];halāqu_1 [lost 472];0.003
agāgu_1 [be furious 69];Marduk [[1]];0.003
agāgu_1 [be furious 69];šasû_1 [shout 232];0.003
agāgu_1 [be furious 69];rēšu_1 [head 920];0.003
agāgu_1 [be furious 69];Tiamat [[1]];0.003
agāgu_1 [be furious 69];šakānu_1 [put 3683];0.003
agāgu_1 [be furious 69];kullu_1 [hold 300];0.003
agāgu_1 [be furious 69];šubtu_2 [dwelling 159];0.003
agāgu_1 [be furious 69];dekû_1 [raise 286];0.003
agāgu_1 [be furious 69];Erra [[1]];0.003
agāgu_1 [be furious 69];abūbu_1 [flood 94];0.003
ezēzu_1 [be angry 205];qardūtu_1 [heroism 14];0.014
ezēzu_1 [be angry 205];ezēzu_1 [be angry 205];0.013
ezēzu_1 [be angry 205];šahāṭu_1 [jump 43];0.013
ezēzu_1 [be angry 205];kakku_1 [stick 952];0.013
ezēzu_1 [be angry 205];šamāru_1 [rage 93];0.01
ezēzu_1 [be angry 205];ūmu_2 [stormdemon 14];0.01
ezēzu_1 [be angry 205];hamuttu_1 [haste 5];0.01
ezēzu_1 [be angry 205];allallu_2 [powerful 6];0.01
ezēzu_1 [be angry 205];šalummatu_1 [radiance 25];0.009
ezēzu_1 [be angry 205];qarrādu_1 [hero 55];0.009
ezēzu_1 [be angry 205];namurratu_1 [aweinspiring radiance 62];0.009
ezēzu_1 [be angry 205];Girra [[1, fire(-god)]];0.009
ezēzu_1 [be angry 205];abūbu_1 [flood 94];0.008
ezēzu_1 [be angry 205];tību_1 [attack 205];0.008
ezēzu_1 [be angry 205];hâlu_1 [melt away 10];0.008
ezēzu_1 [be angry 205];nēšu_1 [lion 249];0.007
ezēzu_1 [be angry 205];agāgu_1 [be furious 69];0.007
ezēzu_1 [be angry 205];ḫamāṭu_1 [burn up 5];0.007
ezēzu_1 [be angry 205];mušamqitu_1 [who overthrows 31];0.007
